timestamp,endpoint,latency_ms,cache_hit
2025-09-17T21:29:59.190302,handshake,38.09,0
2025-09-17T21:29:59.194438,handshake,33.70,0
2025-09-17T21:29:59.196517,handshake,38.36,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T21:29:59.188390,handshake,36.00,0
2025-09-17T21:29:59.198561,handshake,0.07,1
2025-09-17T21:29:59.200547,handshake,11.38,0
2025-09-17T21:29:59.205021,handshake,0.06,1
2025-09-17T21:29:59.207787,handshake,20.94,0
2025-09-17T21:29:59.209399,handshake,15.29,0
2025-09-17T21:29:59.213935,handshake,0.04,1
2025-09-17T21:29:59.212950,handshake,0.07,1
2025-09-17T21:29:59.215811,handshake,0.04,1
2025-09-17T21:29:59.214422,handshake,0.06,1
2025-09-17T21:29:59.228842,handshake,0.04,1
2025-09-17T21:29:59.232370,handshake,0.07,1
2025-09-17T21:29:59.236111,handshake,0.05,1
2025-09-17T21:29:59.239285,handshake,0.04,1
2025-09-17T21:29:59.245776,handshake,0.07,1
2025-09-17T21:29:59.260365,handshake,0.05,1
2025-09-17T21:29:59.262924,handshake,0.06,1
2025-09-17T21:29:59.265140,handshake,0.05,1
2025-09-17T21:29:59.272964,handshake,0.10,1
2025-09-17T21:29:59.263344,handshake,0.06,1
2025-09-17T21:29:59.278189,handshake,0.04,1
2025-09-17T21:29:59.284490,handshake,0.04,1
2025-09-17T21:29:59.287511,handshake,0.07,1
2025-09-17T21:29:59.291611,handshake,0.04,1
2025-09-17T21:29:59.294664,handshake,0.07,1
2025-09-17T21:29:59.285719,handshake,0.05,1
2025-09-17T21:29:59.301136,handshake,0.07,1
2025-09-17T21:29:59.302500,handshake,0.06,1
2025-09-17T21:29:59.303519,handshake,0.06,1
2025-09-17T21:29:59.302874,handshake,0.06,1
2025-09-17T21:29:59.322170,handshake,0.06,1
2025-09-17T21:29:59.318400,handshake,0.06,1
2025-09-17T21:29:59.316435,handshake,0.14,1
2025-09-17T21:29:59.328008,handshake,0.05,1
2025-09-17T21:29:59.332028,handshake,0.06,1
2025-09-17T21:29:59.346393,handshake,0.04,1
2025-09-17T21:29:59.350712,handshake,0.10,1
2025-09-17T21:29:59.348330,handshake,0.06,1
2025-09-17T21:29:59.350120,handshake,0.06,1
2025-09-17T21:29:59.344705,handshake,0.06,1
2025-09-17T21:29:59.355353,handshake,0.06,1
2025-09-17T21:29:59.360089,handshake,0.06,1
2025-09-17T21:29:59.373975,handshake,0.12,1
