timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:28:45.112003,handshake,216.96,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:28:45.117659,handshake,210.94,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:28:45.109125,handshake,215.44,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:28:45.114125,handshake,209.21,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:28:45.116358,handshake,212.51,0
2025-09-17T20:28:45.116891,handshake,215.12,0
2025-09-17T20:28:45.120946,handshake,209.30,0
timestamp,endpoint,latency_ms,cache_hit
2025-09-17T20:28:45.117126,handshake,220.20,0
2025-09-17T20:28:45.123254,handshake,214.08,0
2025-09-17T20:28:45.131071,handshake,213.78,0
2025-09-17T20:28:45.143032,handshake,219.58,0
2025-09-17T20:28:45.154260,handshake,216.70,0
2025-09-17T20:28:45.136808,handshake,213.17,0
2025-09-17T20:28:45.160147,handshake,222.92,0
2025-09-17T20:28:45.175696,handshake,211.44,0
2025-09-17T20:28:45.178334,handshake,221.00,0
2025-09-17T20:28:45.192580,handshake,206.88,0
2025-09-17T20:28:45.199024,handshake,222.75,0
2025-09-17T20:28:45.201929,handshake,216.94,0
2025-09-17T20:28:45.207682,handshake,0.06,1
2025-09-17T20:28:45.203116,handshake,232.74,0
2025-09-17T20:28:45.205688,handshake,210.64,0
2025-09-17T20:28:45.209610,handshake,222.82,0
2025-09-17T20:28:45.209935,handshake,221.99,0
2025-09-17T20:28:45.213325,handshake,211.04,0
2025-09-17T20:28:45.226758,handshake,222.46,0
2025-09-17T20:28:45.231398,handshake,218.48,0
2025-09-17T20:28:45.236606,handshake,217.47,0
2025-09-17T20:28:45.239845,handshake,0.06,1
2025-09-17T20:28:45.238124,handshake,211.17,0
2025-09-17T20:28:45.245549,handshake,214.64,0
2025-09-17T20:28:45.247907,handshake,214.59,0
2025-09-17T20:28:45.251245,handshake,0.04,1
2025-09-17T20:28:45.251992,handshake,215.50,0
2025-09-17T20:28:45.251681,handshake,211.18,0
2025-09-17T20:28:45.253521,handshake,0.06,1
2025-09-17T20:28:45.254561,handshake,213.35,0
2025-09-17T20:28:45.255213,handshake,0.09,1
2025-09-17T20:28:45.255456,handshake,211.64,0
2025-09-17T20:28:45.256269,handshake,214.81,0
2025-09-17T20:28:45.262591,handshake,211.43,0
2025-09-17T20:28:45.257400,handshake,211.34,0
2025-09-17T20:28:45.268525,handshake,210.66,0
2025-09-17T20:28:45.269847,handshake,210.43,0
2025-09-17T20:28:45.273449,handshake,207.31,0
2025-09-17T20:28:45.272057,handshake,209.35,0
2025-09-17T20:28:45.273032,handshake,0.06,1
2025-09-17T20:28:45.276222,handshake,211.27,0
2025-09-17T20:28:45.275384,handshake,211.92,0
2025-09-17T20:28:45.279256,handshake,211.10,0
2025-09-17T20:28:45.283205,handshake,214.14,0
2025-09-17T20:28:45.288846,handshake,0.16,1
2025-09-17T20:28:45.291436,handshake,214.26,0
2025-09-17T20:28:45.297770,handshake,216.34,0
2025-09-17T20:28:45.293605,handshake,211.46,0
2025-09-17T20:28:45.298257,handshake,0.04,1
2025-09-17T20:28:45.305441,handshake,213.27,0
2025-09-17T20:28:45.310779,handshake,0.05,1
2025-09-17T20:28:45.309926,handshake,217.32,0
2025-09-17T20:28:45.312684,handshake,0.05,1
2025-09-17T20:28:45.325660,handshake,0.07,1
2025-09-17T20:28:45.330313,handshake,0.05,1
2025-09-17T20:28:45.333937,handshake,0.06,1
2025-09-17T20:28:45.346657,handshake,0.05,1
2025-09-17T20:28:45.349915,handshake,0.07,1
2025-09-17T20:28:45.346059,handshake,0.05,1
2025-09-17T20:28:45.348322,handshake,0.05,1
2025-09-17T20:28:45.358176,handshake,0.06,1
2025-09-17T20:28:45.365302,handshake,0.07,1
2025-09-17T20:28:45.354784,handshake,0.05,1
2025-09-17T20:28:45.367858,handshake,0.08,1
2025-09-17T20:28:45.374098,handshake,0.07,1
2025-09-17T20:28:45.380707,handshake,0.07,1
2025-09-17T20:28:45.379707,handshake,0.07,1
2025-09-17T20:28:45.402353,handshake,0.07,1
2025-09-17T20:28:45.404881,handshake,0.07,1
2025-09-17T20:28:45.440875,handshake,0.07,1
2025-09-17T20:28:45.442990,handshake,0.06,1
2025-09-17T20:28:45.443313,handshake,0.06,1
2025-09-17T20:28:45.481179,handshake,0.07,1
2025-09-17T20:28:45.484577,handshake,0.07,1
2025-09-17T20:28:45.489205,handshake,0.05,1
2025-09-17T20:28:45.487785,handshake,0.07,1
2025-09-17T20:28:45.519045,handshake,0.04,1
2025-09-17T20:28:45.513582,handshake,0.06,1
2025-09-17T20:28:45.494508,handshake,0.04,1
2025-09-17T20:28:45.492800,handshake,0.04,1
2025-09-17T20:28:45.491402,handshake,0.05,1
2025-09-17T20:28:45.492131,handshake,0.05,1
2025-09-17T20:28:45.495579,handshake,0.03,1
2025-09-17T20:28:45.490371,handshake,0.07,1
2025-09-17T20:28:45.521193,handshake,0.04,1
2025-09-17T20:28:45.493420,handshake,0.03,1
2025-09-17T20:28:45.529440,handshake,0.04,1
2025-09-17T20:28:45.534043,handshake,0.05,1
2025-09-17T20:28:45.520367,handshake,0.03,1
2025-09-17T20:28:45.542659,handshake,0.10,1
2025-09-17T20:28:45.531167,handshake,0.05,1
2025-09-17T20:28:45.537361,handshake,0.03,1
2025-09-17T20:28:45.547190,handshake,0.05,1
2025-09-17T20:28:45.552988,handshake,0.03,1
2025-09-17T20:28:45.554182,handshake,0.07,1
2025-09-17T20:28:45.557993,handshake,0.06,1
2025-09-17T20:28:45.560484,handshake,0.06,1
2025-09-17T20:28:45.568603,handshake,0.07,1
2025-09-17T20:28:45.575328,handshake,0.05,1
2025-09-17T20:28:45.594702,handshake,0.05,1
2025-09-17T20:28:45.605023,handshake,0.06,1
2025-09-17T20:28:45.615685,handshake,0.05,1
2025-09-17T20:28:45.619136,handshake,0.05,1
2025-09-17T20:28:45.629222,handshake,0.05,1
2025-09-17T20:28:45.636106,handshake,0.07,1
2025-09-17T20:28:45.646641,handshake,0.05,1
2025-09-17T20:28:45.647513,handshake,0.05,1
2025-09-17T20:28:45.646303,handshake,0.06,1
2025-09-17T20:28:45.649717,handshake,0.05,1
2025-09-17T20:28:45.655785,handshake,0.08,1
2025-09-17T20:28:45.657489,handshake,0.07,1
2025-09-17T20:28:45.665701,handshake,0.09,1
2025-09-17T20:28:45.661508,handshake,0.07,1
2025-09-17T20:28:45.672786,handshake,0.08,1
2025-09-17T20:28:45.673419,handshake,0.07,1
2025-09-17T20:28:45.671541,handshake,0.08,1
2025-09-17T20:28:45.674842,handshake,0.07,1
2025-09-17T20:28:45.672149,handshake,0.06,1
2025-09-17T20:28:45.678668,handshake,0.07,1
2025-09-17T20:28:45.686152,handshake,0.07,1
2025-09-17T20:28:45.690499,handshake,0.07,1
2025-09-17T20:28:45.694565,handshake,0.12,1
2025-09-17T20:28:45.691911,handshake,0.07,1
2025-09-17T20:28:45.699574,handshake,0.05,1
2025-09-17T20:28:45.709181,handshake,0.06,1
2025-09-17T20:28:45.709640,handshake,0.07,1
2025-09-17T20:28:45.710711,handshake,0.05,1
2025-09-17T20:28:45.713414,handshake,0.05,1
2025-09-17T20:28:45.713867,handshake,0.06,1
2025-09-17T20:28:45.716478,handshake,0.05,1
2025-09-17T20:28:45.715665,handshake,0.06,1
2025-09-17T20:28:45.717309,handshake,0.08,1
2025-09-17T20:28:45.720215,handshake,0.07,1
2025-09-17T20:28:45.722874,handshake,0.08,1
2025-09-17T20:28:45.726969,handshake,0.06,1
2025-09-17T20:28:45.724469,handshake,0.06,1
2025-09-17T20:28:45.730760,handshake,0.06,1
2025-09-17T20:28:45.734229,handshake,0.06,1
2025-09-17T20:28:45.748333,handshake,0.06,1
2025-09-17T20:28:45.746317,handshake,0.06,1
2025-09-17T20:28:45.752865,handshake,0.05,1
2025-09-17T20:28:45.749195,handshake,0.11,1
2025-09-17T20:28:45.751377,handshake,0.09,1
2025-09-17T20:28:45.759149,handshake,0.06,1
2025-09-17T20:28:45.764888,handshake,0.07,1
2025-09-17T20:28:45.760783,handshake,0.07,1
2025-09-17T20:28:45.768886,handshake,0.06,1
2025-09-17T20:28:45.770308,handshake,0.06,1
2025-09-17T20:28:45.770902,handshake,0.08,1
2025-09-17T20:28:45.778366,handshake,0.05,1
2025-09-17T20:28:45.800795,handshake,0.06,1
2025-09-17T20:28:45.799214,handshake,0.09,1
2025-09-17T20:28:45.802506,handshake,0.05,1
2025-09-17T20:28:45.803991,handshake,0.12,1
2025-09-17T20:28:45.818689,handshake,0.07,1
2025-09-17T20:28:45.827031,handshake,0.07,1
2025-09-17T20:28:45.831550,handshake,0.05,1
2025-09-17T20:28:45.832187,handshake,0.04,1
2025-09-17T20:28:45.832824,handshake,0.04,1
2025-09-17T20:28:45.833488,handshake,0.07,1
2025-09-17T20:28:45.835935,handshake,0.06,1
2025-09-17T20:28:45.834690,handshake,0.11,1
2025-09-17T20:28:45.881315,handshake,0.04,1
2025-09-17T20:28:45.880033,handshake,0.07,1
2025-09-17T20:28:45.881747,handshake,0.03,1
2025-09-17T20:28:45.882208,handshake,0.06,1
2025-09-17T20:28:46.023736,handshake,0.05,1
2025-09-17T20:28:46.023472,handshake,0.08,1
2025-09-17T20:28:46.074499,handshake,0.04,1
2025-09-17T20:28:46.069213,handshake,0.08,1
2025-09-17T20:28:46.076397,handshake,0.03,1
2025-09-17T20:28:46.075461,handshake,0.05,1
